id,account_number,symbol,client_order_id,side,executions,type,state,average_price,filled_asset_quantity,created_at,updated_at,market_order_config,limit_order_config,stop_loss_order_config,stop_limit_order_config
8e100975-75ed-4ecd-b30a-867dec231dbe,8da317ba-5fe8-41dc-892c-49472f14c049,MSFT,fbf62a32-e287-46d3-a490-edee037f612f,buy,"{'effective_price': '1685.94', 'quantity': '66.14', 'timestamp': '2024-11-26T22:25:51.931021'}",stop_limit,closed,1885.24,20.01,2024-11-26T22:25:51.931021,2024-11-26T23:01:51.931021,{'asset_quantity': 77.1},"{'quote_amount': 7893.35, 'asset_quantity': 9.66, 'limit_price': 343.12, 'time_in_force': 'day'}","{'quote_amount': 4682.45, 'asset_quantity': 94.07, 'stop_price': 1548.81, 'time_in_force': 'day'}","{'quote_amount': 9997.02, 'asset_quantity': 68.76, 'limit_price': 1313.51, 'stop_price': 1687.9, 'time_in_force': 'gtc'}"
d327d994-df3d-4d8c-8dae-b5369b614b73,a7a71886-e161-49ca-b8f7-5a4abbd9adbb,GOOGL,1a8bd1ed-403f-48fd-b32e-36c1a201aa5f,sell,"{'effective_price': '136.88', 'quantity': '2.68', 'timestamp': '2024-11-13T18:12:09.931223'}",market,cancelled,1321.86,42.37,2024-11-13T18:12:09.931223,2024-11-13T18:31:09.931223,{'asset_quantity': 77.22},"{'quote_amount': 5819.1, 'asset_quantity': 11.89, 'limit_price': 1664.58, 'time_in_force': 'day'}","{'quote_amount': 1236.47, 'asset_quantity': 6.52, 'stop_price': 149.76, 'time_in_force': 'gtc'}","{'quote_amount': 4493.86, 'asset_quantity': 55.66, 'limit_price': 202.88, 'stop_price': 969.56, 'time_in_force': 'day'}"
b5746b35-5598-4b62-8116-6c5cc7758c6a,ffb18845-94f7-46a0-8bab-e88f08e4b4fd,DIS,45f6d7bc-43e1-40fb-b826-e0b442cd6929,sell,"{'effective_price': '1992.3', 'quantity': '5.8', 'timestamp': '2024-11-17T20:00:57.931311'}",stop_loss,closed,1495.43,57.22,2024-11-17T20:00:57.931311,2024-11-17T20:28:57.931311,{'asset_quantity': 38.23},"{'quote_amount': 8994.75, 'asset_quantity': 89.24, 'limit_price': 420.43, 'time_in_force': 'gtc'}","{'quote_amount': 8218.37, 'asset_quantity': 82.05, 'stop_price': 1154.54, 'time_in_force': 'gtc'}","{'quote_amount': 1280.23, 'asset_quantity': 98.89, 'limit_price': 1750.69, 'stop_price': 604.61, 'time_in_force': 'day'}"
636b1785-c735-4eba-a234-c100113280eb,253431dd-7337-48fc-8c3e-b833fe31ac95,MSFT,632047de-9ff9-4641-80d8-52240ca46b71,sell,"{'effective_price': '415.95', 'quantity': '28.06', 'timestamp': '2024-11-15T12:03:43.931649'}",market,open,1726.62,65.28,2024-11-15T12:03:43.931649,2024-11-15T13:08:43.931649,{'asset_quantity': 18.96},"{'quote_amount': 6365.82, 'asset_quantity': 98.68, 'limit_price': 1215.79, 'time_in_force': 'gtc'}","{'quote_amount': 8913.66, 'asset_quantity': 50.3, 'stop_price': 990.33, 'time_in_force': 'day'}","{'quote_amount': 7037.46, 'asset_quantity': 70.4, 'limit_price': 1094.39, 'stop_price': 256.65, 'time_in_force': 'day'}"
365e67ff-b7e6-406e-83dd-cc66ced7776f,d3b5c469-d54d-4834-917c-d6cf86681381,GOOGL,e47fcae4-6923-4da7-afaf-99a139fdc9d5,sell,"{'effective_price': '611.67', 'quantity': '15.06', 'timestamp': '2024-11-13T10:41:19.931813'}",limit,closed,518.18,65.17,2024-11-13T10:41:19.931813,2024-11-13T11:44:19.931813,{'asset_quantity': 56.09},"{'quote_amount': 147.43, 'asset_quantity': 14.82, 'limit_price': 1688.81, 'time_in_force': 'day'}","{'quote_amount': 5621.84, 'asset_quantity': 28.8, 'stop_price': 440.27, 'time_in_force': 'gtc'}","{'quote_amount': 4040.43, 'asset_quantity': 32.07, 'limit_price': 605.5, 'stop_price': 169.84, 'time_in_force': 'gtc'}"
a60b29e7-b240-4cd2-8b15-0360e565f7b7,bd7e7a4b-db2d-4922-bf2a-7872958d0275,GOOGL,d4185606-56e3-4802-9f3d-354804d30ea6,sell,"{'effective_price': '1262.77', 'quantity': '31.94', 'timestamp': '2024-11-22T23:29:25.932165'}",limit,open,853.44,50.47,2024-11-22T23:29:25.932165,2024-11-23T01:08:25.932165,{'asset_quantity': 68.86},"{'quote_amount': 7336.12, 'asset_quantity': 85.79, 'limit_price': 969.11, 'time_in_force': 'day'}","{'quote_amount': 5114.44, 'asset_quantity': 82.36, 'stop_price': 1023.83, 'time_in_force': 'gtc'}","{'quote_amount': 6067.24, 'asset_quantity': 95.78, 'limit_price': 1742.89, 'stop_price': 1285.6, 'time_in_force': 'day'}"
1e582964-1d45-4f7e-bf7e-6f308b556623,70018646-adf6-4060-91da-c818af42b783,AMZN,9b0d3658-c843-46b0-8c6d-0bb57fdeab41,sell,"{'effective_price': '544.48', 'quantity': '61.0', 'timestamp': '2024-10-29T03:34:59.932307'}",market,cancelled,395.85,45.57,2024-10-29T03:34:59.932307,2024-10-29T04:06:59.932307,{'asset_quantity': 3.08},"{'quote_amount': 6533.15, 'asset_quantity': 77.99, 'limit_price': 1079.53, 'time_in_force': 'day'}","{'quote_amount': 2301.79, 'asset_quantity': 25.43, 'stop_price': 531.7, 'time_in_force': 'gtc'}","{'quote_amount': 8204.79, 'asset_quantity': 52.77, 'limit_price': 1379.66, 'stop_price': 857.94, 'time_in_force': 'day'}"
8fa9971e-ab0e-4eb4-90c7-d9c67a6c5638,cd5c10b8-69c6-492a-af9e-bc8a1b42929f,MSFT,ee7df923-4bee-4e4c-8e3c-f4179c39eed9,buy,"{'effective_price': '1276.19', 'quantity': '78.37', 'timestamp': '2024-11-02T19:01:15.932377'}",limit,cancelled,1775.37,69.52,2024-11-02T19:01:15.932377,2024-11-02T20:53:15.932377,{'asset_quantity': 64.77},"{'quote_amount': 6422.73, 'asset_quantity': 21.14, 'limit_price': 153.19, 'time_in_force': 'gtc'}","{'quote_amount': 9816.39, 'asset_quantity': 52.01, 'stop_price': 1176.5, 'time_in_force': 'gtc'}","{'quote_amount': 8115.08, 'asset_quantity': 84.4, 'limit_price': 1116.61, 'stop_price': 782.25, 'time_in_force': 'day'}"
e93a3030-4cec-4c20-858f-4021aacfb005,6cb6f2cc-697a-44f9-99ef-c6a208e92ca9,JPM,201cabce-2ae3-4c4c-a840-04756622ac2f,sell,"{'effective_price': '1000.65', 'quantity': '8.08', 'timestamp': '2024-11-19T09:21:24.932624'}",market,cancelled,1610.55,84.14,2024-11-19T09:21:24.932624,2024-11-19T09:34:24.932624,{'asset_quantity': 17.12},"{'quote_amount': 3820.59, 'asset_quantity': 39.56, 'limit_price': 780.59, 'time_in_force': 'gtc'}","{'quote_amount': 9131.05, 'asset_quantity': 63.16, 'stop_price': 717.52, 'time_in_force': 'gtc'}","{'quote_amount': 6555.94, 'asset_quantity': 72.3, 'limit_price': 1208.52, 'stop_price': 658.51, 'time_in_force': 'day'}"
73981a71-462d-419b-9dcc-322b402e8501,35b546b3-7d13-47df-ba48-6a2d1c46e927,DIS,f60fa97a-ee89-4b11-9fed-15d7a1fdf218,sell,"{'effective_price': '707.86', 'quantity': '8.12', 'timestamp': '2024-11-25T17:33:15.932728'}",stop_loss,open,796.2,15.54,2024-11-25T17:33:15.932728,2024-11-25T18:38:15.932728,{'asset_quantity': 13.36},"{'quote_amount': 7480.8, 'asset_quantity': 80.54, 'limit_price': 1882.33, 'time_in_force': 'day'}","{'quote_amount': 9603.26, 'asset_quantity': 69.65, 'stop_price': 256.15, 'time_in_force': 'gtc'}","{'quote_amount': 5578.43, 'asset_quantity': 5.84, 'limit_price': 696.85, 'stop_price': 1127.77, 'time_in_force': 'day'}"
